plant,district,date,year,month,pipe_bursts,elevated,elevated_next,predicted,split
BATU EMBUN,JERANTUT,2024-07-01,2024,7,2,1,1,0.4478831648966852,train
BATU EMBUN,JERANTUT,2024-08-01,2024,8,2,1,1,0.4968315069081368,train
BATU EMBUN,JERANTUT,2024-09-01,2024,9,2,1,0,0.3141906538148094,train
BATU EMBUN,JERANTUT,2024-10-01,2024,10,1,0,0,0.259708509671692,train
BATU EMBUN,JERANTUT,2024-11-01,2024,11,1,0,0,0.24246281992849242,train
BATU EMBUN,JERANTUT,2024-12-01,2024,12,1,0,0,0.22608125560867037,train
BATU EMBUN,JERANTUT,2025-01-01,2025,1,1,0,0,0.17845323031993096,train
BATU EMBUN,JERANTUT,2025-02-01,2025,2,1,0,1,0.42288600966638223,train
BATU EMBUN,JERANTUT,2025-03-01,2025,3,2,1,0,0.22730583584710096,train
BATU EMBUN,JERANTUT,2025-04-01,2025,4,1,0,1,0.5085420486929202,train
BATU EMBUN,JERANTUT,2025-05-01,2025,5,2,1,0,0.2786923013525043,train
BATU EMBUN,JERANTUT,2025-06-01,2025,6,1,0,1,0.2819783773067081,test
BATU EMBUN,JERANTUT,2025-07-01,2025,7,2,1,1,0.3456014394741688,test
BATU EMBUN,JERANTUT,2025-08-01,2025,8,2,1,0,0.35500091239507336,test
BATU EMBUN,JERANTUT,2025-09-01,2025,9,1,0,0,0.3251831057137119,test
BATU EMBUN,JERANTUT,2025-10-01,2025,10,1,0,1,0.31965908610342747,test
BATU EMBUN,JERANTUT,2025-11-01,2025,11,2,1,0,0.2780451020102886,test
BATU MALIM,RAUB,2023-01-01,2023,1,1,0,1,0.6197964561471601,train
BATU MALIM,RAUB,2023-02-01,2023,2,2,1,1,0.6478958093937645,train
BATU MALIM,RAUB,2023-03-01,2023,3,2,1,1,0.6341761877654198,train
BATU MALIM,RAUB,2023-04-01,2023,4,2,1,0,0.5002642978833657,train
BATU MALIM,RAUB,2023-05-01,2023,5,1,0,0,0.4986634074933766,train
BATU MALIM,RAUB,2023-06-01,2023,6,1,0,1,0.641003528725593,train
BATU MALIM,RAUB,2023-07-01,2023,7,2,1,1,0.6919447236028299,train
BATU MALIM,RAUB,2023-08-01,2023,8,2,1,0,0.49909914323656246,train
BATU MALIM,RAUB,2023-09-01,2023,9,1,0,1,0.6486955980923002,train
BATU MALIM,RAUB,2023-10-01,2023,10,2,1,1,0.7041174793448465,train
BATU MALIM,RAUB,2023-11-01,2023,11,2,1,1,0.5964307721485678,train
BATU MALIM,RAUB,2023-12-01,2023,12,2,1,0,0.5007803957472248,train
BATU MALIM,RAUB,2024-01-01,2024,1,1,0,1,0.6049958095447533,train
BATU MALIM,RAUB,2024-02-01,2024,2,2,1,0,0.4973820462604439,train
BATU MALIM,RAUB,2024-03-01,2024,3,1,0,1,0.6002826129930735,train
BATU MALIM,RAUB,2024-04-01,2024,4,2,1,1,0.7113830016846664,train
BATU MALIM,RAUB,2024-05-01,2024,5,2,1,0,0.4512136562656327,train
BATU MALIM,RAUB,2024-06-01,2024,6,1,0,1,0.667660419426074,train
BATU MALIM,RAUB,2024-07-01,2024,7,2,1,1,0.6550301761094346,train
BATU MALIM,RAUB,2024-08-01,2024,8,2,1,1,0.712535094436138,train
BATU MALIM,RAUB,2024-09-01,2024,9,2,1,1,0.6953675904722719,train
BATU MALIM,RAUB,2024-10-01,2024,10,2,1,1,0.5879593337545704,train
BATU MALIM,RAUB,2024-11-01,2024,11,2,1,0,0.4906164005899074,train
BATU MALIM,RAUB,2024-12-01,2024,12,1,0,1,0.5957739837957987,train
BATU MALIM,RAUB,2025-01-01,2025,1,2,1,1,0.6056520424981714,train
BATU MALIM,RAUB,2025-02-01,2025,2,2,1,0,0.4453959997781751,train
BATU MALIM,RAUB,2025-03-01,2025,3,1,0,0,0.5289600708994907,train
BATU MALIM,RAUB,2025-04-01,2025,4,1,0,1,0.6613702907142259,train
BATU MALIM,RAUB,2025-05-01,2025,5,2,1,1,0.7162987316374366,train
BATU MALIM,RAUB,2025-06-01,2025,6,2,1,1,0.5905826722627808,test
BATU MALIM,RAUB,2025-07-01,2025,7,2,1,0,0.6509848569881821,test
BATU MALIM,RAUB,2025-08-01,2025,8,1,0,1,0.6467310637039156,test
BATU MALIM,RAUB,2025-09-01,2025,9,2,1,1,0.6287185631200775,test
BATU MALIM,RAUB,2025-10-01,2025,10,2,1,1,0.5086849943268291,test
BATU MALIM,RAUB,2025-11-01,2025,11,2,1,0,0.4645798013199122,test
BATU SAWAR,MARAN,2023-01-01,2023,1,1,0,1,0.32026307822567124,train
BATU SAWAR,MARAN,2023-02-01,2023,2,2,1,0,0.1559407527833412,train
BATU SAWAR,MARAN,2023-03-01,2023,3,1,0,0,0.1702355386535816,train
BATU SAWAR,MARAN,2023-04-01,2023,4,1,0,0,0.17968325399085644,train
BATU SAWAR,MARAN,2023-05-01,2023,5,1,0,0,0.18021786726055006,train
BATU SAWAR,MARAN,2023-06-01,2023,6,1,0,0,0.17783021165581578,train
BATU SAWAR,MARAN,2023-07-01,2023,7,1,0,1,0.3453790040005509,train
BATU SAWAR,MARAN,2023-08-01,2023,8,2,1,0,0.21647984894831906,train
BATU SAWAR,MARAN,2023-09-01,2023,9,1,0,0,0.16784084715646497,train
BATU SAWAR,MARAN,2023-10-01,2023,10,1,0,0,0.21373874742752855,train
BATU SAWAR,MARAN,2023-11-01,2023,11,1,0,0,0.1741877173154346,train
BATU SAWAR,MARAN,2023-12-01,2023,12,1,0,0,0.15614306568355313,train
BATU SAWAR,MARAN,2024-01-01,2024,1,1,0,0,0.16492924628209163,train
BATU SAWAR,MARAN,2024-02-01,2024,2,1,0,0,0.18788171892353553,train
BATU SAWAR,MARAN,2024-03-01,2024,3,1,0,0,0.18595957036517366,train
BATU SAWAR,MARAN,2024-04-01,2024,4,1,0,0,0.19647066984556483,train
BATU SAWAR,MARAN,2024-05-01,2024,5,1,0,0,0.2516549435148701,train
BATU SAWAR,MARAN,2024-06-01,2024,6,1,0,0,0.23258002014844428,train
BATU SAWAR,MARAN,2024-07-01,2024,7,1,0,1,0.32223408230905676,train
BATU SAWAR,MARAN,2024-08-01,2024,8,2,1,0,0.28521084748620507,train
BATU SAWAR,MARAN,2024-09-01,2024,9,1,0,0,0.18597918559079946,train
BATU SAWAR,MARAN,2024-10-01,2024,10,1,0,1,0.27362387088972717,train
BATU SAWAR,MARAN,2024-11-01,2024,11,2,1,0,0.18053884433365663,train
BATU SAWAR,MARAN,2024-12-01,2024,12,1,0,0,0.17594135759719653,train
BATU SAWAR,MARAN,2025-01-01,2025,1,1,0,0,0.21223970212925064,train
BATU SAWAR,MARAN,2025-02-01,2025,2,1,0,0,0.1632545425466443,train
BATU SAWAR,MARAN,2025-03-01,2025,3,1,0,0,0.1913718479373412,train
BATU SAWAR,MARAN,2025-04-01,2025,4,1,0,0,0.18737731875236513,train
BATU SAWAR,MARAN,2025-05-01,2025,5,1,0,0,0.158307147589272,train
BATU SAWAR,MARAN,2025-06-01,2025,6,1,0,0,0.2528410603106372,test
BATU SAWAR,MARAN,2025-07-01,2025,7,1,0,0,0.296905542864674,test
BATU SAWAR,MARAN,2025-08-01,2025,8,1,0,0,0.21466426362950944,test
BATU SAWAR,MARAN,2025-09-01,2025,9,1,0,1,0.2192866762044685,test
BATU SAWAR,MARAN,2025-10-01,2025,10,2,1,0,0.24731553455578012,test
BATU SAWAR,MARAN,2025-11-01,2025,11,1,0,0,0.20260632377214916,test
BELIMBING,PEKAN,2023-01-01,2023,1,1,0,0,0.252785424826635,train
BELIMBING,PEKAN,2023-02-01,2023,2,1,0,0,0.18095061409702867,train
BELIMBING,PEKAN,2023-03-01,2023,3,1,0,0,0.15171346415219414,train
BELIMBING,PEKAN,2023-04-01,2023,4,1,0,1,0.36238148873289916,train
BELIMBING,PEKAN,2023-05-01,2023,5,2,1,0,0.30009368822170024,train
BELIMBING,PEKAN,2023-06-01,2023,6,1,0,0,0.3190817637386868,train
BELIMBING,PEKAN,2023-07-01,2023,7,1,0,0,0.1335624383568307,train
BELIMBING,PEKAN,2023-08-01,2023,8,1,0,0,0.27678100587818777,train
BELIMBING,PEKAN,2023-09-01,2023,9,1,0,0,0.2937285384604895,train
BELIMBING,PEKAN,2023-10-01,2023,10,1,0,1,0.32793647292608447,train
BELIMBING,PEKAN,2023-11-01,2023,11,2,1,0,0.22954273488532273,train
BELIMBING,PEKAN,2023-12-01,2023,12,1,0,0,0.21312868958050818,train
BELIMBING,PEKAN,2024-01-01,2024,1,1,0,0,0.18457584286808149,train
BELIMBING,PEKAN,2024-02-01,2024,2,1,0,0,0.20930257037782213,train
BELIMBING,PEKAN,2024-03-01,2024,3,1,0,0,0.29446813229365953,train
BELIMBING,PEKAN,2024-04-01,2024,4,1,0,1,0.3406394141118141,train
BELIMBING,PEKAN,2024-05-01,2024,5,2,1,1,0.3967712677702515,train
BELIMBING,PEKAN,2024-06-01,2024,6,2,1,0,0.22738054050116233,train
BELIMBING,PEKAN,2024-07-01,2024,7,1,0,0,0.2132779043659965,train
BELIMBING,PEKAN,2024-08-01,2024,8,1,0,0,0.222679105264615,train
BELIMBING,PEKAN,2024-09-01,2024,9,1,0,1,0.3375205702158208,train
BELIMBING,PEKAN,2024-10-01,2024,10,2,1,0,0.22353525824395015,train
BELIMBING,PEKAN,2024-11-01,2024,11,1,0,1,0.3482428278285445,train
BELIMBING,PEKAN,2024-12-01,2024,12,2,1,0,0.23396661778807729,train
BELIMBING,PEKAN,2025-01-01,2025,1,1,0,0,0.17042461416278423,train
BELIMBING,PEKAN,2025-02-01,2025,2,1,0,0,0.15261029127787895,train
BELIMBING,PEKAN,2025-03-01,2025,3,1,0,0,0.18465357368278304,train
BELIMBING,PEKAN,2025-04-01,2025,4,1,0,0,0.23418479418150298,train
BELIMBING,PEKAN,2025-05-01,2025,5,1,0,0,0.24154860751087387,train
BELIMBING,PEKAN,2025-06-01,2025,6,1,0,0,0.3260574720744355,test
BELIMBING,PEKAN,2025-07-01,2025,7,1,0,0,0.17592787183651992,test
BELIMBING,PEKAN,2025-08-01,2025,8,1,0,0,0.27665099901184464,test
BELIMBING,PEKAN,2025-09-01,2025,9,1,0,0,0.21315780391891026,test
BELIMBING,PEKAN,2025-10-01,2025,10,1,0,1,0.2508404213874421,test
BELIMBING,PEKAN,2025-11-01,2025,11,2,1,0,0.25276865637845963,test
BENTA,LIPIS,2023-01-01,2023,1,1,0,0,0.00801462456532116,train
BENTA,LIPIS,2023-02-01,2023,2,1,0,0,0.005254247064425083,train
BENTA,LIPIS,2023-03-01,2023,3,1,0,0,0.004249015894236482,train
BENTA,LIPIS,2023-04-01,2023,4,1,0,0,0.00022727272727272727,train
BENTA,LIPIS,2023-05-01,2023,5,1,0,0,0.00373852495543672,train
BENTA,LIPIS,2023-06-01,2023,6,1,0,0,0.015570783501134153,train
BENTA,LIPIS,2023-07-01,2023,7,1,0,0,0.003882024408340198,train
BENTA,LIPIS,2023-08-01,2023,8,0,0,0,0.00791852365256003,train
BENTA,LIPIS,2023-09-01,2023,9,1,0,0,0.003357420754769826,train
BENTA,LIPIS,2023-10-01,2023,10,1,0,0,0.0009603784695696462,train
BENTA,LIPIS,2023-11-01,2023,11,1,0,0,0.004401773664931561,train
BENTA,LIPIS,2023-12-01,2023,12,1,0,0,0.0015863095238095237,train
BENTA,LIPIS,2024-01-01,2024,1,0,0,0,0.012297619251663372,train
BENTA,LIPIS,2024-02-01,2024,2,1,0,0,0.0031124900318979264,train
BENTA,LIPIS,2024-03-01,2024,3,1,0,0,0.0025551510989010994,train
BENTA,LIPIS,2024-04-01,2024,4,1,0,0,0.000710245636716225,train
BENTA,LIPIS,2024-05-01,2024,5,0,0,0,0.004582772007404361,train
BENTA,LIPIS,2024-06-01,2024,6,1,0,0,0.004240416231515302,train
BENTA,LIPIS,2024-07-01,2024,7,1,0,0,0.009547053232714996,train
BENTA,LIPIS,2024-08-01,2024,8,1,0,0,0.007100556306438659,train
BENTA,LIPIS,2024-09-01,2024,9,1,0,0,0.008451655252642097,train
BENTA,LIPIS,2024-10-01,2024,10,1,0,0,0.0049045886066977394,train
BENTA,LIPIS,2024-11-01,2024,11,1,0,0,0.0033811645870469404,train
BENTA,LIPIS,2024-12-01,2024,12,1,0,0,0.0014331983805668013,train
BENTA,LIPIS,2025-01-01,2025,1,1,0,0,0.0038934558088969864,train
BENTA,LIPIS,2025-02-01,2025,2,1,0,0,0.021537426066944674,train
BENTA,LIPIS,2025-03-01,2025,3,1,0,0,0.0028074607351301724,train
BENTA,LIPIS,2025-04-01,2025,4,1,0,0,0.007483563907712518,train
BENTA,LIPIS,2025-05-01,2025,5,1,0,0,0.010432695076811882,train
BENTA,LIPIS,2025-06-01,2025,6,1,0,0,0.001591736694677871,test
BENTA,LIPIS,2025-07-01,2025,7,1,0,0,0.021450603028012497,test
BENTA,LIPIS,2025-08-01,2025,8,1,0,0,0.00436424773626786,test
BENTA,LIPIS,2025-09-01,2025,9,1,0,0,0.00554443677237795,test
BENTA,LIPIS,2025-10-01,2025,10,1,0,0,0.0023323412698412695,test
BENTA,LIPIS,2025-11-01,2025,11,1,0,0,0.0055133012412424175,test
BENTONG (FASA 2),BENTONG,2023-01-01,2023,1,7,1,1,0.9940059523809524,train
BENTONG (FASA 2),BENTONG,2023-02-01,2023,2,10,1,1,1.0,train
BENTONG (FASA 2),BENTONG,2023-03-01,2023,3,8,1,1,1.0,train
BENTONG (FASA 2),BENTONG,2023-04-01,2023,4,10,1,1,0.9985961538461539,train
BENTONG (FASA 2),BENTONG,2023-05-01,2023,5,6,1,1,0.9988529411764705,train
BENTONG (FASA 2),BENTONG,2023-06-01,2023,6,9,1,1,1.0,train
BENTONG (FASA 2),BENTONG,2023-07-01,2023,7,10,1,1,0.9993315508021391,train
BENTONG (FASA 2),BENTONG,2023-08-01,2023,8,10,1,1,0.9990000000000001,train
BENTONG (FASA 2),BENTONG,2023-09-01,2023,9,5,1,1,0.9996256684491979,train
BENTONG (FASA 2),BENTONG,2023-10-01,2023,10,5,1,1,0.9991999718547707,train
BENTONG (FASA 2),BENTONG,2023-11-01,2023,11,13,1,1,0.9922930945903081,train
BENTONG (FASA 2),BENTONG,2023-12-01,2023,12,8,1,1,0.9997058823529411,train
BENTONG (FASA 2),BENTONG,2024-01-01,2024,1,5,1,1,0.9972951680672268,train
BENTONG (FASA 2),BENTONG,2024-02-01,2024,2,10,1,1,0.9975892857142857,train
BENTONG (FASA 2),BENTONG,2024-03-01,2024,3,5,1,1,1.0,train
BENTONG (FASA 2),BENTONG,2024-04-01,2024,4,4,1,1,0.9929080597907998,train
BENTONG (FASA 2),BENTONG,2024-05-01,2024,5,10,1,1,0.9992702692044798,train
BENTONG (FASA 2),BENTONG,2024-06-01,2024,6,9,1,1,0.9998214285714286,train
BENTONG (FASA 2),BENTONG,2024-07-01,2024,7,8,1,1,0.9982500000000001,train
BENTONG (FASA 2),BENTONG,2024-08-01,2024,8,10,1,1,0.9997727272727274,train
BENTONG (FASA 2),BENTONG,2024-09-01,2024,9,11,1,1,0.9983207233942529,train
BENTONG (FASA 2),BENTONG,2024-10-01,2024,10,10,1,1,0.9991701680672268,train
BENTONG (FASA 2),BENTONG,2024-11-01,2024,11,11,1,1,0.9997058823529411,train
BENTONG (FASA 2),BENTONG,2024-12-01,2024,12,11,1,1,0.9991176470588234,train
BENTONG (FASA 2),BENTONG,2025-01-01,2025,1,10,1,1,0.9994642857142857,train
BENTONG (FASA 2),BENTONG,2025-02-01,2025,2,8,1,1,0.9997058823529411,train
BENTONG (FASA 2),BENTONG,2025-03-01,2025,3,12,1,1,0.9926674261411103,train
BENTONG (FASA 2),BENTONG,2025-04-01,2025,4,9,1,1,0.9963806894859526,train
BENTONG (FASA 2),BENTONG,2025-05-01,2025,5,11,1,1,0.9990034965034965,train
BENTONG (FASA 2),BENTONG,2025-06-01,2025,6,5,1,1,0.9986666666666667,test
BENTONG (FASA 2),BENTONG,2025-07-01,2025,7,9,1,1,1.0,test
BENTONG (FASA 2),BENTONG,2025-08-01,2025,8,10,1,1,0.9997058823529411,test
BENTONG (FASA 2),BENTONG,2025-09-01,2025,9,12,1,1,0.9899339096575939,test
BENTONG (FASA 2),BENTONG,2025-10-01,2025,10,7,1,1,1.0,test
BENTONG (FASA 2),BENTONG,2025-11-01,2025,11,9,1,1,0.9972951680672268,test
BERA KOMPLEKS,BERA,2023-01-01,2023,1,2,1,1,0.365110057867915,train
BERA KOMPLEKS,BERA,2023-02-01,2023,2,2,1,0,0.16906156698889685,train
BERA KOMPLEKS,BERA,2023-03-01,2023,3,1,0,0,0.2688893751345032,train
BERA KOMPLEKS,BERA,2023-04-01,2023,4,1,0,0,0.211533580776027,train
BERA KOMPLEKS,BERA,2023-05-01,2023,5,1,0,1,0.46539802770025746,train
BERA KOMPLEKS,BERA,2023-06-01,2023,6,2,1,1,0.4800918709445686,train
BERA KOMPLEKS,BERA,2023-07-01,2023,7,2,1,0,0.26473805537471945,train
BERA KOMPLEKS,BERA,2023-08-01,2023,8,1,0,0,0.24141779654090584,train
BERA KOMPLEKS,BERA,2023-09-01,2023,9,1,0,0,0.2259198421773485,train
BERA KOMPLEKS,BERA,2023-10-01,2023,10,1,0,0,0.23687946377132363,train
BERA KOMPLEKS,BERA,2023-11-01,2023,11,1,0,0,0.17741331583546988,train
BERA KOMPLEKS,BERA,2023-12-01,2023,12,1,0,0,0.20667670925752543,train
BERA KOMPLEKS,BERA,2024-01-01,2024,1,1,0,0,0.1999574676263809,train
BERA KOMPLEKS,BERA,2024-02-01,2024,2,1,0,0,0.15934763953594144,train
BERA KOMPLEKS,BERA,2024-03-01,2024,3,1,0,0,0.28858396733649,train
BERA KOMPLEKS,BERA,2024-04-01,2024,4,1,0,1,0.43541982318476186,train
BERA KOMPLEKS,BERA,2024-05-01,2024,5,2,1,1,0.4142482842910725,train
BERA KOMPLEKS,BERA,2024-06-01,2024,6,2,1,0,0.277087135651508,train
BERA KOMPLEKS,BERA,2024-07-01,2024,7,1,0,0,0.2557963942905509,train
BERA KOMPLEKS,BERA,2024-08-01,2024,8,1,0,1,0.3675379166313924,train
BERA KOMPLEKS,BERA,2024-09-01,2024,9,2,1,0,0.240932726939233,train
BERA KOMPLEKS,BERA,2024-10-01,2024,10,1,0,0,0.22922891447512422,train
BERA KOMPLEKS,BERA,2024-11-01,2024,11,1,0,1,0.3088071195577406,train
BERA KOMPLEKS,BERA,2024-12-01,2024,12,2,1,0,0.21114439546743569,train
BERA KOMPLEKS,BERA,2025-01-01,2025,1,1,0,0,0.19629114746015605,train
BERA KOMPLEKS,BERA,2025-02-01,2025,2,1,0,0,0.25526223680302723,train
BERA KOMPLEKS,BERA,2025-03-01,2025,3,1,0,0,0.23232526423970015,train
BERA KOMPLEKS,BERA,2025-04-01,2025,4,1,0,0,0.3177711727793578,train
BERA KOMPLEKS,BERA,2025-05-01,2025,5,1,0,1,0.4600559696078652,train
BERA KOMPLEKS,BERA,2025-06-01,2025,6,2,1,0,0.2523798000894175,test
BERA KOMPLEKS,BERA,2025-07-01,2025,7,1,0,1,0.19941030894016756,test
BERA KOMPLEKS,BERA,2025-08-01,2025,8,2,1,0,0.24606823862975563,test
BERA KOMPLEKS,BERA,2025-09-01,2025,9,1,0,1,0.3065203200350798,test
BERA KOMPLEKS,BERA,2025-10-01,2025,10,2,1,1,0.3461390460199331,test
BERA KOMPLEKS,BERA,2025-11-01,2025,11,2,1,0,0.30932309659759727,test
BRINCHANG,CAMERON HIGHLANDS,2023-01-01,2023,1,3,1,0,0.6997515285535524,train
BRINCHANG,CAMERON HIGHLANDS,2023-02-01,2023,2,1,0,1,0.8100807454350174,train
BRINCHANG,CAMERON HIGHLANDS,2023-03-01,2023,3,2,1,1,0.8509280931081168,train
BRINCHANG,CAMERON HIGHLANDS,2023-04-01,2023,4,2,1,1,0.8896854185628791,train
BRINCHANG,CAMERON HIGHLANDS,2023-05-01,2023,5,2,1,1,0.8695242390602342,train
BRINCHANG,CAMERON HIGHLANDS,2023-06-01,2023,6,2,1,1,0.8989458030287506,train
BRINCHANG,CAMERON HIGHLANDS,2023-07-01,2023,7,2,1,1,0.9074031555636753,train
BRINCHANG,CAMERON HIGHLANDS,2023-08-01,2023,8,3,1,0,0.6995328550863711,train
BRINCHANG,CAMERON HIGHLANDS,2023-09-01,2023,9,1,0,1,0.8257695354772423,train
BRINCHANG,CAMERON HIGHLANDS,2023-10-01,2023,10,2,1,1,0.7801118690001715,train
BRINCHANG,CAMERON HIGHLANDS,2023-11-01,2023,11,2,1,1,0.7606538691119483,train
BRINCHANG,CAMERON HIGHLANDS,2023-12-01,2023,12,3,1,0,0.5975640105272254,train
BRINCHANG,CAMERON HIGHLANDS,2024-01-01,2024,1,1,0,1,0.8339578365154046,train
BRINCHANG,CAMERON HIGHLANDS,2024-02-01,2024,2,3,1,1,0.8407514430878734,train
BRINCHANG,CAMERON HIGHLANDS,2024-03-01,2024,3,3,1,1,0.825304252256831,train
BRINCHANG,CAMERON HIGHLANDS,2024-04-01,2024,4,3,1,1,0.8332605715401968,train
BRINCHANG,CAMERON HIGHLANDS,2024-05-01,2024,5,3,1,1,0.903412994569194,train
BRINCHANG,CAMERON HIGHLANDS,2024-06-01,2024,6,2,1,1,0.9156698140004796,train
BRINCHANG,CAMERON HIGHLANDS,2024-07-01,2024,7,3,1,1,0.9066032757694263,train
BRINCHANG,CAMERON HIGHLANDS,2024-08-01,2024,8,2,1,1,0.8900118219281887,train
BRINCHANG,CAMERON HIGHLANDS,2024-09-01,2024,9,2,1,1,0.8874828669164019,train
BRINCHANG,CAMERON HIGHLANDS,2024-10-01,2024,10,3,1,1,0.7870426799288217,train
BRINCHANG,CAMERON HIGHLANDS,2024-11-01,2024,11,2,1,0,0.669771090121534,train
BRINCHANG,CAMERON HIGHLANDS,2024-12-01,2024,12,1,0,1,0.7462623780774312,train
BRINCHANG,CAMERON HIGHLANDS,2025-01-01,2025,1,3,1,1,0.7865711074955323,train
BRINCHANG,CAMERON HIGHLANDS,2025-02-01,2025,2,3,1,1,0.8553237297653774,train
BRINCHANG,CAMERON HIGHLANDS,2025-03-01,2025,3,3,1,1,0.8177769090117469,train
BRINCHANG,CAMERON HIGHLANDS,2025-04-01,2025,4,3,1,1,0.8387513425692081,train
BRINCHANG,CAMERON HIGHLANDS,2025-05-01,2025,5,2,1,1,0.88479114486311,train
BRINCHANG,CAMERON HIGHLANDS,2025-06-01,2025,6,2,1,1,0.8468422625132398,test
BRINCHANG,CAMERON HIGHLANDS,2025-07-01,2025,7,3,1,0,0.786422737392628,test
BRINCHANG,CAMERON HIGHLANDS,2025-08-01,2025,8,1,0,1,0.8637433894166843,test
BRINCHANG,CAMERON HIGHLANDS,2025-09-01,2025,9,3,1,0,0.7448676792384333,test
BRINCHANG,CAMERON HIGHLANDS,2025-10-01,2025,10,1,0,1,0.7749449386413665,test
BRINCHANG,CAMERON HIGHLANDS,2025-11-01,2025,11,3,1,1,0.6840816112078366,test
BUKIT BETONG,LIPIS,2023-01-01,2023,1,1,0,1,0.798547520342743,train
BUKIT BETONG,LIPIS,2023-02-01,2023,2,2,1,1,0.7652469148124378,train
BUKIT BETONG,LIPIS,2023-03-01,2023,3,2,1,1,0.8049174824372344,train
BUKIT BETONG,LIPIS,2023-04-01,2023,4,2,1,1,0.8244909190905441,train
BUKIT BETONG,LIPIS,2023-05-01,2023,5,3,1,0,0.5199206814754632,train
BUKIT BETONG,LIPIS,2023-06-01,2023,6,1,0,1,0.7474000175915667,train
BUKIT BETONG,LIPIS,2023-07-01,2023,7,2,1,0,0.5978323442567645,train
BUKIT BETONG,LIPIS,2023-08-01,2023,8,1,0,0,0.5827511395761106,train
BUKIT BETONG,LIPIS,2023-09-01,2023,9,1,0,1,0.7374514099872584,train
BUKIT BETONG,LIPIS,2023-10-01,2023,10,3,1,1,0.6882394313837384,train
BUKIT BETONG,LIPIS,2023-11-01,2023,11,3,1,1,0.6922240505773196,train
BUKIT BETONG,LIPIS,2023-12-01,2023,12,2,1,1,0.8252666635575393,train
BUKIT BETONG,LIPIS,2024-01-01,2024,1,2,1,1,0.8175609490204582,train
BUKIT BETONG,LIPIS,2024-02-01,2024,2,2,1,0,0.636758026424845,train
BUKIT BETONG,LIPIS,2024-03-01,2024,3,1,0,0,0.5510396155507653,train
BUKIT BETONG,LIPIS,2024-04-01,2024,4,1,0,1,0.7621029386230663,train
BUKIT BETONG,LIPIS,2024-05-01,2024,5,2,1,1,0.8425416557028081,train
BUKIT BETONG,LIPIS,2024-06-01,2024,6,2,1,1,0.7982838778916437,train
BUKIT BETONG,LIPIS,2024-07-01,2024,7,2,1,1,0.7854278886683804,train
BUKIT BETONG,LIPIS,2024-08-01,2024,8,3,1,0,0.5534227334688195,train
BUKIT BETONG,LIPIS,2024-09-01,2024,9,1,0,1,0.7123801837341323,train
BUKIT BETONG,LIPIS,2024-10-01,2024,10,2,1,0,0.6496378075889634,train
BUKIT BETONG,LIPIS,2024-11-01,2024,11,1,0,1,0.8190821415003023,train
BUKIT BETONG,LIPIS,2024-12-01,2024,12,3,1,1,0.7857834603679895,train
BUKIT BETONG,LIPIS,2025-01-01,2025,1,2,1,1,0.7925498024271239,train
BUKIT BETONG,LIPIS,2025-02-01,2025,2,2,1,1,0.7227063499013718,train
BUKIT BETONG,LIPIS,2025-03-01,2025,3,2,1,1,0.7100858796283738,train
BUKIT BETONG,LIPIS,2025-04-01,2025,4,2,1,1,0.8170809483433414,train
BUKIT BETONG,LIPIS,2025-05-01,2025,5,2,1,1,0.7602633396381537,train
BUKIT BETONG,LIPIS,2025-06-01,2025,6,2,1,1,0.7909634834989179,test
BUKIT BETONG,LIPIS,2025-07-01,2025,7,2,1,0,0.6453982999376378,test
BUKIT BETONG,LIPIS,2025-08-01,2025,8,1,0,1,0.7304251441040361,test
BUKIT BETONG,LIPIS,2025-09-01,2025,9,2,1,1,0.745992755150847,test
BUKIT BETONG,LIPIS,2025-10-01,2025,10,2,1,1,0.7777555105509423,test
BUKIT BETONG,LIPIS,2025-11-01,2025,11,2,1,1,0.7449579119495598,test
BUKIT FRASER,RAUB,2023-01-01,2023,1,1,0,1,0.38926148203408767,train
BUKIT FRASER,RAUB,2023-02-01,2023,2,2,1,0,0.24226729839596445,train
BUKIT FRASER,RAUB,2023-03-01,2023,3,1,0,1,0.47326864433116095,train
BUKIT FRASER,RAUB,2023-04-01,2023,4,2,1,0,0.296158756320512,train
BUKIT FRASER,RAUB,2023-05-01,2023,5,1,0,1,0.43916664015242224,train
BUKIT FRASER,RAUB,2023-06-01,2023,6,2,1,0,0.3146652275919642,train
BUKIT FRASER,RAUB,2023-07-01,2023,7,1,0,0,0.3532172771072004,train
BUKIT FRASER,RAUB,2023-08-01,2023,8,1,0,1,0.43584105886328545,train
BUKIT FRASER,RAUB,2023-09-01,2023,9,2,1,0,0.2490769345135037,train
BUKIT FRASER,RAUB,2023-10-01,2023,10,1,0,0,0.27279732958483477,train
BUKIT FRASER,RAUB,2023-11-01,2023,11,1,0,1,0.39325043069003063,train
BUKIT FRASER,RAUB,2023-12-01,2023,12,2,1,0,0.2867882261826284,train
BUKIT FRASER,RAUB,2024-01-01,2024,1,1,0,0,0.27735546125819227,train
BUKIT FRASER,RAUB,2024-02-01,2024,2,1,0,0,0.27878799553971173,train
BUKIT FRASER,RAUB,2024-03-01,2024,3,1,0,1,0.46602507942161575,train
BUKIT FRASER,RAUB,2024-04-01,2024,4,2,1,1,0.49742540118904066,train
BUKIT FRASER,RAUB,2024-05-01,2024,5,2,1,1,0.5151319994935942,train
BUKIT FRASER,RAUB,2024-06-01,2024,6,2,1,1,0.48658176132130554,train
